Newcastle City Council Invoices over £250 paid in February 2016,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,09-Feb-16,14 EIGHTH ROW,6824928,Revenue,1MH20,Residential Care PD,"9,800.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,09-Feb-16,18 SEA VIEW VILLAS,6824872,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00",
Environment & Regeneration,Fleet Management System                ,Revenue Expenditure,25-Feb-16,A S PNEUMATICS,6839004,Revenue,1KENB,Fleet Workshops OH,"1,075.07",
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,03-Feb-16,A&J KEITH LTD,6819599,Revenue,1KVWC,Minor Works Contracts,"199,460.02",
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,03-Feb-16,A&J KEITH LTD,6819667,Revenue,1KEYU,Solar PV YHN Buildings,498.00,
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,29-Feb-16,A&J KEITH LTD,6840522,Revenue,1KEYU,Solar PV YHN Buildings,498.00,
Environment & Regeneration,NS: Repairs & Maintenance  ,Revenue Expenditure,26-Feb-16,A&J KEITH LTD,6843514,Revenue,1KVEM,Mechanical Stand Alone Works,"18,699.04",
Environment & Regeneration,NS: D&CS Support Services  ,Revenue Expenditure,16-Feb-16,A&J KEITH LTD,6830258,Revenue,1KBRM,Sub Contractors R & M,"344,191.70",
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,26-Feb-16,A&S LOCKSMITHS,6841270,Revenue,1DF10,Theatre Royal Contribution,456.63,
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,26-Feb-16,A&S LOCKSMITHS,6841271,Revenue,1DR03,Grainger Market,391.91,
Environment & Regeneration,NS: Asset Man              ,Revenue Income,26-Feb-16,A&S LOCKSMITHS,6841270,Revenue,4RX01,General Fund,456.63,
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,08-Feb-16,AA GLOBAL LANGUAGES SERVICES LTD,6823148,Revenue,1FT08,Translation Unit,882.00,
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,26-Feb-16,AA GLOBAL LANGUAGES SERVICES LTD,6843136,Revenue,1FT08,Translation Unit,"1,447.20",
Environment & Regeneration,Blacksmiths                            ,Revenue Expenditure,11-Feb-16,AAA CHEMICALS LTD,6823746,Revenue,1KE69,City Centre Cleansing Dayshift,580.80,
Environment & Regeneration,Fleet Management System                ,Revenue Expenditure,29-Feb-16,AAA CHEMICALS LTD,6829149,Revenue,3KES1,Fleetmaster Stores Account,580.80,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,ABBEYFIELD CASTLE FARM,6838436,Revenue,1MG20,Residential Care OP,"11,670.24",
Adult and Culture,Social Services-Carefirst              ,Revenue Income,23-Feb-16,ABBEYFIELD CASTLE FARM,6838436,Revenue,1MG20,Residential Care OP,"5,835.12",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,ABBEYFIELD THE GROVE,6838426,Revenue,1MG20,Residential Care OP,"2,584.08",
Adult and Culture,Social Services-Carefirst              ,Revenue Income,23-Feb-16,ABBEYFIELD THE GROVE,6838426,Revenue,1MG20,Residential Care OP,"1,292.04",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,ABBEYMOOR,6838437,Revenue,1MM20,Residential Care MH,"4,000.00",
Adult and Culture,Social Services-Carefirst              ,Long Term Assets,23-Feb-16,ABIGAIL HOUSE,6838438,Revenue,4WX13,Ind Sector Client Loan Fund,"12,371.31",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,ABIGAIL HOUSE,6838438,Revenue,1MG20,Residential Care OP,"210,312.27",
Adult and Culture,Social Services-Carefirst              ,Revenue Income,23-Feb-16,ABIGAIL HOUSE,6838438,Revenue,1MG20,Residential Care OP,"61,856.55",
Environment & Regeneration,E&R Parking Services       ,Revenue Expenditure,24-Feb-16,ABLE 2 OCCUPATIONAL THERAPY SERVICES LTD,6838964,Revenue,1V123,Blue Badge Applications,460.60,
