Newcastle City Council Invoices over £250 paid in January 2016,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,Cityworks Clean E/C        ,Revenue Expenditure,14/01/2016, BIN MASTERS LTD,6801907,Revenue,1KEG4,Blue Bin Recycling Scheme,900.00
Environment & Regeneration,Highways                               ,Current Assets,14/01/2016, THOMPSONS OF PRUDHOE LTD,6787451,Revenue,4RX01,General Fund,349.30
Environment & Regeneration,Highways                               ,Current Assets,14/01/2016, THOMPSONS OF PRUDHOE LTD,6802127,Revenue,4RX01,General Fund,393.40
Environment & Regeneration,Highways                               ,Revenue Expenditure,14/01/2016, THOMPSONS OF PRUDHOE LTD,6802153,Revenue,1KEMC,Highways,"2,600.00"
Environment & Regeneration,Highways                               ,Revenue Expenditure,13/01/2016, THOMPSONS OF PRUDHOE LTD,6801217,Revenue,1KEMC,Highways,827.64
Environment & Regeneration,Highways                               ,Revenue Expenditure,13/01/2016, THOMPSONS OF PRUDHOE LTD,6801221,Revenue,1KEMC,Highways,978.66
Environment & Regeneration,Highways                               ,Revenue Expenditure,13/01/2016, THOMPSONS OF PRUDHOE LTD,6801222,Revenue,1KEMC,Highways,984.00
Environment & Regeneration,Highways                               ,Revenue Expenditure,13/01/2016, THOMPSONS OF PRUDHOE LTD,6801225,Revenue,1KEMC,Highways,364.00
Environment & Regeneration,Highways                               ,Revenue Expenditure,13/01/2016, THOMPSONS OF PRUDHOE LTD,6801360,Revenue,1KEMC,Highways,"1,742.00"
Environment & Regeneration,Highways                               ,Revenue Expenditure,27/01/2016, THOMPSONS OF PRUDHOE LTD,6802215,Revenue,1KEMC,Highways,526.36
Environment & Regeneration,Highways                               ,Revenue Expenditure,27/01/2016, THOMPSONS OF PRUDHOE LTD,6802216,Revenue,1KEMC,Highways,"1,008.18"
Environment & Regeneration,Highways                               ,Revenue Expenditure,27/01/2016, THOMPSONS OF PRUDHOE LTD,6802217,Revenue,1KEMC,Highways,"1,336.64"
Environment & Regeneration,Highways                               ,Revenue Expenditure,27/01/2016, THOMPSONS OF PRUDHOE LTD,6802218,Revenue,1KEMC,Highways,616.70
Environment & Regeneration,Highways                               ,Revenue Expenditure,07/01/2016, THOMPSONS OF PRUDHOE LTD,6787438,Revenue,1KEMC,Highways,"1,083.78"
Environment & Regeneration,Highways                               ,Revenue Expenditure,07/01/2016, THOMPSONS OF PRUDHOE LTD,6787439,Revenue,1KEMC,Highways,"1,827.76"
Environment & Regeneration,Highways                               ,Revenue Expenditure,07/01/2016, THOMPSONS OF PRUDHOE LTD,6787441,Revenue,1KEMC,Highways,"1,630.92"
Environment & Regeneration,Highways                               ,Revenue Expenditure,07/01/2016, THOMPSONS OF PRUDHOE LTD,6787446,Revenue,1KEMC,Highways,884.00
Environment & Regeneration,Highways                               ,Revenue Expenditure,07/01/2016, THOMPSONS OF PRUDHOE LTD,6787448,Revenue,1KEMC,Highways,"1,248.00"
Environment & Regeneration,Highways                               ,Revenue Expenditure,07/01/2016, THOMPSONS OF PRUDHOE LTD,6787450,Revenue,1KEMC,Highways,468.00
Environment & Regeneration,Highways                               ,Revenue Expenditure,04/01/2016, THOMPSONS OF PRUDHOE LTD,6772743,Revenue,1KEMC,Highways,385.80
Environment & Regeneration,Regen B/Control            ,Revenue Expenditure,15/01/2016, THOMPSONS OF PRUDHOE LTD,6803313,Revenue,1V563,Building Control Work Default,"16,951.00"
Environment & Regeneration,Regen B/Control            ,Revenue Expenditure,15/01/2016, THOMPSONS OF PRUDHOE LTD,6803316,Revenue,1V563,Building Control Work Default,"7,772.00"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,12/01/2016,14 EIGHTH ROW,6799769,Revenue,1MH20,Residential Care PD,"9,800.00"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,12/01/2016,18 SEA VIEW VILLAS,6799703,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00"
Environment & Regeneration,Allendale Building                     ,Current Assets,27/01/2016,A PLANT ACROW,6802098,Revenue,4RX01,General Fund,395.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,26/01/2016,A&J KEITH LTD,6811436,Revenue,1KEYU,Solar PV YHN Buildings,415.00
Environment & Regeneration,NS: D&CS Support Services  ,Revenue Expenditure,13/01/2016,A&J KEITH LTD,6801389,Revenue,1KBRM,Sub Contractors R & M,"168,268.15"
Environment & Regeneration,Cityworks Rangers          ,Revenue Expenditure,20/01/2016,A&S LOCKSMITHS,6775433,Revenue,1KL6A,Rangers Development Budget,"1,238.75"
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,20/01/2016,A&S LOCKSMITHS,6807358,Revenue,1DZ07,Heaton Park Road,254.45
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,27/01/2016,A&S LOCKSMITHS,6813643,Revenue,1DF71,High Bridge Studios & Gallery,433.99
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,18/01/2016,A&S LOCKSMITHS,6804370,Revenue,1DF10,Theatre Royal Contribution,"1,187.10"
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,06/01/2016,AA GLOBAL LANGUAGES SERVICES LTD,6796508,Revenue,1FT08,Translation Unit,590.00
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,19/01/2016,AA GLOBAL LANGUAGES SERVICES LTD,6805224,Revenue,1FT08,Translation Unit,802.00
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Revenue Expenditure,05/01/2016,AAA CHEMICALS LTD,6794951,Revenue,1KKX1,Civic Centre Direct Costs,683.60
Environment & Regeneration,Fleet Management System                ,Revenue Expenditure,04/01/2016,AAA CHEMICALS LTD,6791253,Revenue,3KES1,Fleetmaster Stores Account,606.48
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,18/01/2016,ABB LTD,6801430,Revenue,1KVEE,Electrical Stand Alone Works,"2,641.00"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,27/01/2016,ABBEYFIELD CASTLE FARM,6812910,Revenue,1MG20,Residential Care OP,"2,298.39"
Adult and Culture,Social Services-Carefirst              ,Revenue Income,27/01/2016,ABBEYFIELD CASTLE FARM,6812910,Revenue,1MG20,Residential Care OP,-424.92
